,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-07,260.53,268.775,260.08,267.56,267.56,50841365,0.0,1.0
2023-02-06,257.44,258.3,254.78,256.77,256.77,22517997,0.0,1.0
2023-02-03,259.542,264.2,257.1,258.35,258.35,29077256,0.0,1.0
2023-02-02,258.82,264.69,257.25,264.6,264.6,39940437,0.0,1.0
2023-02-01,248.0,255.18,245.47,252.75,252.75,31259912,0.0,1.0
2023-01-31,243.45,247.95,242.945,247.81,247.81,26541072,0.0,1.0
2023-01-30,244.51,245.6,242.2,242.71,242.71,25867365,0.0,1.0
2023-01-27,248.99,249.83,246.83,248.16,248.16,26498939,0.0,1.0
2023-01-26,243.65,248.31,242.0,248.0,248.0,33454491,0.0,1.0
2023-01-25,234.48,243.3,230.9,240.61,240.61,66526641,0.0,1.0
2023-01-24,242.5,243.95,240.44,242.04,242.04,40234444,0.0,1.0
2023-01-23,241.1,245.165,239.65,242.58,242.58,31933951,0.0,1.0
2023-01-20,234.855,240.74,234.51,240.22,240.22,35389809,0.0,1.0
2023-01-19,233.78,235.52,230.68,231.93,231.93,28623033,0.0,1.0
2023-01-18,241.565,242.38,235.52,235.81,235.81,30028692,0.0,1.0
2023-01-17,237.97,240.91,237.09,240.35,240.35,29831257,0.0,1.0
2023-01-13,237.002,239.37,234.92,239.23,239.23,21333265,0.0,1.0
2023-01-12,235.26,239.9,233.56,238.51,238.51,27269486,0.0,1.0
2023-01-11,231.29,235.95,231.11,235.77,235.77,28669331,0.0,1.0
2023-01-10,227.755,231.31,227.33,228.85,228.85,27033881,0.0,1.0
2023-01-09,226.45,231.2366,226.41,227.12,227.12,27369784,0.0,1.0
2023-01-06,223.0,225.7601,219.35,224.93,224.93,43613574,0.0,1.0
2023-01-05,227.2,227.55,221.7602,222.31,222.31,39585623,0.0,1.0
2023-01-04,232.275,232.87,225.96,229.1,229.1,50623394,0.0,1.0
2023-01-03,243.08,245.75,237.4,239.58,239.58,25740036,0.0,1.0
2022-12-30,238.21,239.96,236.66,239.82,239.82,21938472,0.0,1.0
2022-12-29,235.65,241.92,235.65,241.01,241.01,19770693,0.0,1.0
2022-12-28,236.89,239.72,234.17,234.53,234.53,17457104,0.0,1.0
2022-12-27,238.7,238.93,235.83,236.96,236.96,16688648,0.0,1.0
2022-12-23,236.11,238.87,233.9428,238.73,238.73,21206982,0.0,1.0
2022-12-22,241.255,241.99,233.87,238.19,238.19,28651664,0.0,1.0
2022-12-21,241.69,245.615,240.11,244.43,244.43,23690607,0.0,1.0
2022-12-20,239.4,242.91,238.42,241.8,241.8,25150802,0.0,1.0
2022-12-19,244.86,245.21,238.71,240.45,240.45,29696436,0.0,1.0
2022-12-16,248.55,249.84,243.51,244.69,244.69,86101994,0.0,1.0
2022-12-15,253.72,254.2,247.34,249.01,249.01,35568093,0.0,1.0
2022-12-14,257.13,262.588,254.31,257.22,257.22,35410933,0.0,1.0
2022-12-13,261.69,263.915,253.07,256.92,256.92,42196884,0.0,1.0
2022-12-12,247.445,252.54,247.17,252.51,252.51,30665069,0.0,1.0
2022-12-09,244.695,248.31,244.16,245.42,245.42,20609743,0.0,1.0
2022-12-08,244.84,248.74,243.06,247.4,247.4,22611757,0.0,1.0
2022-12-07,244.83,246.16,242.205,244.37,244.37,20481522,0.0,1.0
2022-12-06,250.82,251.86,243.78,245.12,245.12,22463727,0.0,1.0
2022-12-05,252.01,253.819,248.06,250.2,250.2,23435294,0.0,1.0
2022-12-02,249.82,256.06,249.69,255.02,255.02,21528520,0.0,1.0
2022-12-01,253.87,256.12,250.9156,254.69,254.69,26041524,0.0,1.0
2022-11-30,240.57,255.33,239.86,255.14,255.14,47594239,0.0,1.0
2022-11-29,241.4,242.79,238.21,240.33,240.33,17956313,0.0,1.0
2022-11-28,246.08,246.65,240.8,241.76,241.76,24810271,0.0,1.0
2022-11-25,247.31,248.7,246.73,247.49,247.49,9200772,0.0,1.0
2022-11-23,245.105,248.28,244.27,247.58,247.58,19508462,0.0,1.0
2022-11-22,243.59,245.31,240.71,245.03,245.03,19665699,0.0,1.0
2022-11-21,241.43,244.67,241.19,242.05,242.05,26394700,0.0,1.0
2022-11-18,243.51,243.74,239.03,241.22,241.22,27613523,0.0,1.0
2022-11-17,237.78,243.25,237.63,241.68,241.68,23123544,0.0,1.0
2022-11-16,242.79,243.8,240.42,241.73,241.73,24093272,0.68,1.0
2022-11-15,245.66,247.0,240.03,241.97,241.291234272514,31390117,0.0,1.0
2022-11-14,241.985,243.91,239.21,241.55,240.872412441731,31123340,0.0,1.0
2022-11-11,242.99,247.99,241.93,247.11,246.416815725424,34620246,0.0,1.0
2022-11-10,235.43,243.33,235.0,242.98,242.298401056062,46268021,0.0,1.0
2022-11-09,227.37,228.6327,224.33,224.51,223.880212449981,27852910,0.0,1.0
2022-11-08,228.7,231.65,225.84,228.87,228.227981931438,28192548,0.0,1.0
2022-11-07,221.99,228.41,221.28,227.87,227.230787096242,33497979,0.0,1.0
2022-11-04,217.55,221.59,213.431,221.39,220.768964564168,36789063,0.0,1.0
2022-11-03,220.09,220.41,213.98,214.25,213.648993440865,36633922,0.0,1.0
2022-11-02,229.46,231.3,220.04,220.1,219.482583226765,38407008,0.0,1.0
2022-11-01,234.6,235.74,227.325,228.17,227.529945546801,30592271,0.0,1.0
2022-10-31,233.76,234.92,231.15,232.13,231.478837094179,28357265,0.0,1.0
2022-10-28,226.24,236.6,226.05,235.87,235.208345777814,40647724,0.0,1.0
2022-10-27,231.04,233.69,225.78,226.75,226.113928880822,40424645,0.0,1.0
2022-10-26,231.17,238.3,230.06,231.32,230.67110927767,82684846,0.0,1.0
2022-10-25,247.26,251.04,245.83,250.66,249.956857390372,34775505,0.0,1.0
2022-10-24,243.76,247.84,241.295,247.25,246.556423002351,24911212,0.0,1.0
2022-10-21,234.74,243.0,234.5,242.12,241.440813497793,26299733,0.0,1.0
2022-10-20,235.77,241.31,234.87,236.15,235.487560331669,21811015,0.0,1.0
2022-10-19,237.04,239.61,234.29,236.48,235.816634627284,19985698,0.0,1.0
2022-10-18,243.24,243.93,235.37,238.5,237.830968194381,26329591,0.0,1.0
2022-10-17,235.82,238.96,235.135,237.53,236.863689204241,28142268,0.0,1.0
2022-10-14,235.54,237.24,228.34,228.56,227.918851532528,30198588,0.0,1.0
2022-10-13,219.85,236.1,219.13,234.24,233.582918196444,42551818,0.0,1.0
2022-10-12,225.4,227.86,223.96,225.75,225.116734045625,21903937,0.0,1.0
2022-10-11,227.62,229.06,224.11,225.41,224.777687801658,30473954,0.0,1.0
2022-10-10,233.05,234.559,226.73,229.25,228.606915968813,29743608,0.0,1.0
2022-10-07,240.902,241.32,233.17,234.24,233.582918196444,37769602,0.0,1.0
2022-10-06,247.93,250.34,246.08,246.79,246.097713378161,20239886,0.0,1.0
2022-10-05,245.99,250.58,244.1,249.2,248.500952930985,20347136,0.0,1.0
2022-10-04,245.09,250.36,244.975,248.88,248.181850583722,34888416,0.0,1.0
2022-10-03,235.41,241.61,234.66,240.74,240.064684625222,28880357,0.0,1.0
2022-09-30,238.29,240.54,232.73,232.9,232.246677117281,35694832,0.0,1.0
2022-09-29,238.89,239.95,234.41,237.5,236.833773359185,27484233,0.0,1.0
2022-09-28,236.81,242.33,234.73,241.07,240.393758920837,29029679,0.0,1.0
2022-09-27,239.98,241.8,234.5,236.41,235.746830988821,27018732,0.0,1.0
2022-09-26,237.045,241.45,236.9,237.45,236.783913617425,27694190,0.0,1.0
2022-09-23,239.54,241.13,235.2,237.92,237.252595189967,34176048,0.0,1.0
2022-09-22,237.8704,243.86,237.57,240.98,240.304011385669,30927092,0.0,1.0
2022-09-21,244.27,247.66,238.9,238.95,238.27970587022,28625557,0.0,1.0
2022-09-20,242.065,243.51,239.64,242.45,241.769887793408,26660299,0.0,1.0
2022-09-19,242.465,245.14,240.85,244.52,243.834081102265,26826931,0.0,1.0
2022-09-16,244.26,245.3,242.0627,244.74,244.053463966008,39791768,0.0,1.0
2022-09-15,249.77,251.4,244.02,245.38,244.691668660534,31530948,0.0,1.0
2022-09-14,253.53,254.23,249.86,252.22,251.512481333278,23912954,0.0,1.0
2022-09-13,258.84,260.4,251.59,251.99,251.283126521183,33353318,0.0,1.0
2022-09-12,265.78,267.45,265.16,266.65,265.902002805165,18747690,0.0,1.0
2022-09-09,260.5,265.23,260.29,264.46,263.718146116084,22093190,0.0,1.0
2022-09-08,257.51,260.43,254.79,258.52,257.794808795017,20319911,0.0,1.0
2022-09-07,254.7,258.83,253.22,258.09,257.366015015882,24126700,0.0,1.0
2022-09-06,256.2,257.83,251.94,253.25,252.539592013531,21283869,0.0,1.0
2022-09-02,261.695,264.74,254.47,256.06,255.341709500433,22855380,0.0,1.0
2022-09-01,258.87,260.89,255.41,260.4,259.669535085186,23263431,0.0,1.0
2022-08-31,265.39,267.11,261.33,261.47,260.736533558847,24791834,0.0,1.0
2022-08-30,266.67,267.05,260.66,262.97,262.232325811641,22767071,0.0,1.0
2022-08-29,265.85,267.4,263.85,265.23,264.485986139186,20121371,0.0,1.0
2022-08-26,279.08,280.34,267.98,268.09,267.337963367848,27549307,0.0,1.0
2022-08-25,277.33,279.02,274.52,278.85,278.067779794563,16583407,0.0,1.0
2022-08-24,275.41,277.23,275.11,275.79,275.016363598861,18137019,0.0,1.0
2022-08-23,276.44,278.86,275.4,276.44,275.664540241739,17527409,0.0,1.0
2022-08-22,282.08,282.46,277.22,277.75,276.970865475847,25061070,0.0,1.0
2022-08-19,288.9,289.25,285.56,286.15,285.347302091498,20570033,0.0,1.0
2022-08-18,290.189,291.91,289.08,290.17,289.356025328988,17186192,0.0,1.0
2022-08-17,289.74,293.35,289.47,291.32,290.502799389464,18253358,0.62,1.0
2022-08-16,291.99,294.04,290.42,292.71,291.26900873224,18102882,0.0,1.0
2022-08-15,291.0,294.18,290.11,293.47,292.02526730433,18085654,0.0,1.0
2022-08-12,288.48,291.91,286.94,291.91,290.472947077408,22619675,0.0,1.0
2022-08-11,290.85,291.21,286.51,287.02,285.607020212249,20065938,0.0,1.0
2022-08-10,288.17,289.81,286.94,289.16,287.736485138924,24687845,0.0,1.0
2022-08-09,279.64,283.08,277.61,282.3,280.910256448742,23405238,0.0,1.0
2022-08-08,284.05,285.92,279.32,280.32,278.940003853033,18757818,0.0,1.0
2022-08-05,279.15,283.65,278.68,282.91,281.517253460551,16774606,0.0,1.0
2022-08-04,281.8,283.8,280.1677,283.65,282.25361049127,18098668,0.0,1.0
2022-08-03,276.76,283.5,276.61,282.47,281.079419550394,23518874,0.0,1.0
2022-08-02,276.0,277.89,272.38,274.82,273.467079976065,22754184,0.0,1.0
2022-08-01,277.82,281.28,275.84,278.01,276.641375824707,21539580,0.0,1.0
2022-07-29,277.7,282.0,276.63,280.74,279.35793622182,32152752,0.0,1.0
2022-07-28,269.75,277.84,267.87,276.41,275.049252515043,33459327,0.0,1.0
2022-07-27,261.16,270.05,258.85,268.74,267.417011399344,45994049,0.0,1.0
2022-07-26,259.86,259.88,249.57,251.9,250.659913565137,39347957,0.0,1.0
2022-07-25,260.995,261.5,256.81,258.83,257.555797650116,21055998,0.0,1.0
2022-07-22,265.24,265.33,259.07,260.36,259.078265564982,21881290,0.0,1.0
2022-07-21,259.79,264.89,257.03,264.84,263.53621083204,22404675,0.0,1.0
2022-07-20,259.9,264.87,258.91,262.27,260.978862765893,22788282,0.0,1.0
2022-07-19,257.575,259.72,253.68,259.53,258.252351598094,25012562,0.0,1.0
2022-07-18,259.75,260.84,253.3,254.25,252.998344676205,20975034,0.0,1.0
2022-07-15,255.72,260.3699,254.7727,256.72,255.456185035498,29774050,0.0,1.0
2022-07-14,250.57,255.1374,245.94,254.08,252.829181574553,25102823,0.0,1.0
2022-07-13,250.19,253.55,248.11,252.72,251.475876761339,29497423,0.0,1.0
2022-07-12,265.88,265.94,252.04,253.67,252.421199976452,35868450,0.0,1.0
2022-07-11,265.65,266.53,262.18,264.51,263.207835399422,19519108,0.0,1.0
2022-07-08,264.79,268.1,263.285,267.66,266.342328165322,19658751,0.0,1.0
2022-07-07,265.12,269.055,265.02,268.4,267.078685196041,20859874,0.0,1.0
2022-07-06,263.75,267.99,262.4,266.21,264.899466415939,23824419,0.0,1.0
2022-07-05,256.16,262.98,254.74,262.85,261.556007465646,22971634,0.0,1.0
2022-07-01,256.39,259.77,254.61,259.58,258.302105451521,22837692,0.0,1.0
2022-06-30,257.05,259.53,252.9,256.83,255.565643513037,31730868,0.0,1.0
2022-06-29,257.59,261.97,255.76,260.26,258.978757858128,20069839,0.0,1.0
2022-06-28,263.98,266.91,256.32,256.48,255.217366539048,27380247,0.0,1.0
2022-06-27,268.205,268.3,263.28,264.89,263.585964685467,24615114,0.0,1.0
2022-06-24,261.808,267.98,261.72,267.7,266.382131248063,33923231,0.0,1.0
2022-06-23,255.57,259.37,253.63,258.86,257.585649962173,25861449,0.0,1.0
2022-06-22,251.89,257.17,250.37,253.13,251.88385835944,25961215,0.0,1.0
2022-06-21,250.255,254.75,249.51,253.74,252.49085537125,29928297,0.0,1.0
2022-06-17,244.7,250.5,244.03,247.65,246.430836023843,43084780,0.0,1.0
2022-06-16,245.98,247.4174,243.02,244.97,243.764029480157,33169160,0.0,1.0
2022-06-15,248.31,255.3,246.42,251.76,250.520602775541,33111729,0.0,1.0
2022-06-14,243.86,245.74,241.51,244.49,243.286392487258,28651487,0.0,1.0
2022-06-13,245.11,249.0242,241.53,242.26,241.067370624415,46135788,0.0,1.0
2022-06-10,260.58,260.58,252.53,252.99,251.744547569845,31445841,0.0,1.0
2022-06-09,267.78,272.7081,264.63,264.79,263.486456978613,26439728,0.0,1.0
2022-06-08,271.71,273.0,269.61,270.41,269.078790103806,17372341,0.0,1.0
2022-06-07,266.635,273.13,265.94,272.5,271.158501177053,22860677,0.0,1.0
2022-06-06,272.06,274.18,267.22,268.75,267.42696217003,22400342,0.0,1.0
2022-06-03,270.31,273.45,268.41,270.02,268.690710047075,28058958,0.0,1.0
2022-06-02,264.45,274.65,261.6,274.58,273.228261479616,44008209,0.0,1.0
2022-06-01,275.195,277.69,270.04,272.42,271.07889501157,25292174,0.0,1.0
2022-05-31,272.53,274.77,268.93,271.87,270.531602623873,37827695,0.0,1.0
2022-05-27,268.48,273.34,267.56,273.24,271.894858207773,26910806,0.0,1.0
2022-05-26,262.27,267.11,261.4294,265.9,264.590992524692,25002105,0.0,1.0
2022-05-25,258.14,264.58,257.125,262.52,261.227632033028,28547947,0.0,1.0
2022-05-24,257.89,261.33,253.5,259.62,258.341908534263,29043904,0.0,1.0
2022-05-23,255.49,261.5,253.43,260.65,259.366837914859,33175379,0.0,1.0
2022-05-20,257.24,258.54,246.44,252.56,251.316664430373,39199279,0.0,1.0
2022-05-19,253.9,257.67,251.88,253.14,251.893809130126,32692286,0.0,1.0
2022-05-18,263.0,263.6,252.77,254.08,252.829181574553,31355985,0.62,1.0
2022-05-17,266.11,268.33,262.46,266.82,264.860157941587,28828799,0.0,1.0
2022-05-16,259.955,265.82,255.78,261.5,259.579234321734,32550933,0.0,1.0
2022-05-13,257.35,263.04,255.35,261.12,259.202025491744,34925093,0.0,1.0
2022-05-12,257.69,259.88,250.02,255.35,253.474407204798,51033802,0.0,1.0
2022-05-11,265.68,271.36,259.3,260.55,258.63621224676,48975898,0.0,1.0
2022-05-10,271.69,273.75,265.07,269.5,267.520472847829,39336424,0.0,1.0
2022-05-09,270.06,272.36,263.32,264.58,262.636611154281,47725952,0.0,1.0
2022-05-06,274.805,279.25,271.27,274.73,272.712057534264,37780322,0.0,1.0
2022-05-05,285.54,286.35,274.34,277.35,275.31281315156,43260386,0.0,1.0
2022-05-04,282.59,290.88,276.73,289.98,287.850043474633,33463409,0.0,1.0
2022-05-03,283.96,284.13,280.15,281.78,279.710273985385,25978605,0.0,1.0
2022-05-02,277.71,284.94,276.22,284.47,282.380515439785,35151105,0.0,1.0
2022-04-29,288.61,289.88,276.5,277.52,275.481564470239,37073923,0.0,1.0
2022-04-28,285.185,290.98,281.4562,289.63,287.502614289116,33646570,0.0,1.0
2022-04-27,282.1,290.97,279.16,283.22,281.139696920082,63477694,0.0,1.0
2022-04-26,277.5,278.3599,270.0,270.22,268.235184315178,42047008,0.0,1.0
2022-04-25,273.29,281.11,270.77,280.72,278.658059880678,35678852,0.0,1.0
2022-04-22,281.68,283.2,273.38,274.03,272.01719916323,29405798,0.0,1.0
2022-04-21,288.58,293.3,280.06,280.81,278.747398814096,29454587,0.0,1.0
2022-04-20,289.4,289.7,285.3702,286.36,284.256633041575,22805341,0.0,1.0
2022-04-19,279.38,286.17,278.41,285.3,283.204418936867,22297720,0.0,1.0
2022-04-18,278.91,282.46,278.34,280.52,278.459528917525,20778000,0.0,1.0
2022-04-14,288.09,288.305,279.32,279.83,277.774597094649,28221607,0.0,1.0
2022-04-13,282.73,288.58,281.3,287.62,285.507378109435,21907176,0.0,1.0
2022-04-12,289.235,290.739,280.49,282.06,279.988217333798,30966721,0.0,1.0
2022-04-11,291.79,292.61,285.0,285.26,283.164712744236,34569264,0.0,1.0
2022-04-08,300.44,301.12,296.28,296.97,294.788700636808,24361917,0.0,1.0
2022-04-07,296.66,303.65,296.35,301.37,299.15638182616,31411155,0.0,1.0
2022-04-06,305.19,307.0,296.71,299.5,297.300117320686,40110372,0.0,1.0
2022-04-05,313.27,314.865,309.87,310.88,308.596529124056,22984881,0.0,1.0
2022-04-04,310.09,315.11,309.71,314.97,312.656487320522,24335868,0.0,1.0
2022-04-01,309.37,310.13,305.54,309.42,307.147253093044,27110529,0.0,1.0
2022-03-31,313.9,315.14,307.89,308.31,306.045406247548,33422070,0.0,1.0
2022-03-30,313.76,315.95,311.58,313.86,311.554640475026,28163555,0.0,1.0
2022-03-29,313.91,315.82,309.05,315.41,313.093255439457,30393403,0.0,1.0
2022-03-28,304.33,310.8,304.33,310.7,308.417851257219,29578188,0.0,1.0
2022-03-25,305.23,305.5,299.2855,303.68,301.44941445057,22443541,0.0,1.0
2022-03-24,299.14,304.2,298.315,304.1,301.86632947319,24484456,0.0,1.0
2022-03-23,300.51,303.23,297.7201,299.49,297.290190772528,25715377,0.0,1.0
2022-03-22,299.8,305.0,298.77,304.06,301.82662328056,27441386,0.0,1.0
2022-03-21,298.89,300.14,294.9,299.16,296.962614683327,28107855,0.0,1.0
2022-03-18,295.37,301.0,292.73,300.43,298.223286299344,42195837,0.0,1.0
2022-03-17,293.29,295.61,289.37,295.22,293.051554709225,30816633,0.0,1.0
2022-03-16,289.11,294.57,283.2,294.39,292.227651212143,37826329,0.0,1.0
2022-03-15,280.35,287.82,278.725,287.15,285.040830346026,34245085,0.0,1.0
2022-03-14,280.34,285.3992,275.82,276.44,274.409497269217,30660747,0.0,1.0
2022-03-11,287.96,289.51,279.43,280.07,278.012834250432,27209330,0.0,1.0
2022-03-10,283.02,286.6,280.58,285.59,283.492288833438,30628012,0.0,1.0
2022-03-09,283.44,289.6,280.78,288.5,286.380914347305,35204480,0.0,1.0
2022-03-08,277.8,283.96,270.0,275.85,273.823830927917,48159475,0.0,1.0
2022-03-07,288.53,289.69,278.53,278.91,276.861354664149,43157178,0.0,1.0
2022-03-04,294.29,295.66,287.165,289.86,287.730924896741,32369655,0.0,1.0
2022-03-03,302.89,303.13,294.05,295.92,293.746413080258,27314469,0.0,1.0
2022-03-02,295.36,301.47,293.698,300.19,297.985049143561,31873007,0.0,1.0
2022-03-01,296.4,299.97,292.15,294.95,292.783537908969,31217778,0.0,1.0
2022-02-28,294.31,299.14,293.0,298.79,296.595332401495,34627457,0.0,1.0
2022-02-25,295.14,297.63,291.655,297.31,295.126203274167,32546721,0.0,1.0
2022-02-24,272.51,295.16,271.52,294.59,292.426182175295,56989686,0.0,1.0
2022-02-23,290.18,291.7,280.1,280.27,278.211365213585,37811167,0.0,1.0
2022-02-22,285.0,291.54,284.5,287.72,285.606643591011,41569319,0.0,1.0
2022-02-18,293.05,293.86,286.305,287.93,285.815101102321,34264008,0.0,1.0
2022-02-17,296.36,296.8,290.0,290.73,288.594534586454,32461580,0.0,1.0
2022-02-16,298.365,300.87,293.68,299.5,297.300117320686,29982121,0.62,1.0
2022-02-15,300.008,300.8,297.02,300.47,297.646828772979,27379488,0.0,1.0
2022-02-14,293.77,296.76,291.35,295.0,292.228224075711,36359487,0.0,1.0
2022-02-11,303.19,304.29,294.22,295.04,292.267848241687,39175620,0.0,1.0
2022-02-10,304.04,309.12,300.7,302.38,299.538882698351,45386199,0.0,1.0
2022-02-09,309.865,311.93,307.39,311.21,308.285917337634,31284671,0.0,1.0
2022-02-08,301.25,305.561,299.95,304.56,301.698399744063,32421188,0.0,1.0
2022-02-07,306.17,307.84,299.9,300.95,298.122318764695,28533286,0.0,1.0
2022-02-04,300.21,308.8,299.97,305.94,303.065433470247,35096488,0.0,1.0
2022-02-03,309.49,311.23,299.96,301.25,298.419500009518,43729972,0.0,1.0
2022-02-02,309.63,315.12,308.88,313.46,310.514776673804,36635989,0.0,1.0
